timestamp,pstate,temperature.gpu,power.draw [W],clocks.current.sm [MHz],clocks.current.memory [MHz],utilization.gpu [%],tag
2026/07/12 03:01:31.581, P3, 49, 16.12 W, 1890 MHz, 7000 MHz, 7 %,before
2026/07/12 03:02:47.317, P8, 46, 4.17 W, 210 MHz, 405 MHz, 6 %,before_old_original_cpu_run1
2026/07/12 03:02:54.254, P8, 46, 4.04 W, 210 MHz, 405 MHz, 6 %,after_old_original_cpu_run1
2026/07/12 03:02:56.319, P8, 46, 4.27 W, 210 MHz, 405 MHz, 7 %,before_old_host_o2_cpu_run1
2026/07/12 03:03:01.922, P8, 47, 4.05 W, 210 MHz, 405 MHz, 7 %,after_old_host_o2_cpu_run1
2026/07/12 03:03:03.990, P0, 47, 15.49 W, 1890 MHz, 8000 MHz, 0 %,before_current_cpu_run1
2026/07/12 03:03:09.671, P8, 47, 4.12 W, 210 MHz, 405 MHz, 7 %,after_current_cpu_run1
2026/07/12 03:03:11.738, P8, 47, 4.23 W, 210 MHz, 405 MHz, 7 %,before_old_original_cpu_run2
2026/07/12 03:03:17.353, P0, 48, 15.51 W, 1890 MHz, 8000 MHz, 0 %,after_old_original_cpu_run2
2026/07/12 03:03:19.423, P0, 48, 15.36 W, 1890 MHz, 8000 MHz, 0 %,before_old_host_o2_cpu_run2
2026/07/12 03:03:24.977, P5, 47, 6.34 W, 345 MHz, 810 MHz, 1 %,after_old_host_o2_cpu_run2
2026/07/12 03:03:27.044, P8, 47, 4.23 W, 210 MHz, 405 MHz, 7 %,before_current_cpu_run2
2026/07/12 03:03:32.678, P0, 48, 15.48 W, 1890 MHz, 8000 MHz, 0 %,after_current_cpu_run2
2026/07/12 03:03:34.752, P0, 48, 15.49 W, 1890 MHz, 8000 MHz, 0 %,before_old_original_cpu_run3
2026/07/12 03:03:40.301, P8, 47, 4.07 W, 210 MHz, 405 MHz, 7 %,after_old_original_cpu_run3
2026/07/12 03:03:42.368, P8, 47, 4.24 W, 210 MHz, 405 MHz, 7 %,before_old_host_o2_cpu_run3
2026/07/12 03:03:47.936, P8, 47, 4.09 W, 210 MHz, 405 MHz, 7 %,after_old_host_o2_cpu_run3
2026/07/12 03:03:50.011, P8, 47, 4.24 W, 210 MHz, 405 MHz, 6 %,before_current_cpu_run3
2026/07/12 03:03:55.622, P5, 47, 6.61 W, 405 MHz, 810 MHz, 1 %,after_current_cpu_run3
2026/07/12 03:03:57.695, P8, 47, 4.88 W, 210 MHz, 405 MHz, 7 %,before_old_original_cpu_run4
2026/07/12 03:04:03.222, P8, 47, 5.02 W, 210 MHz, 405 MHz, 6 %,after_old_original_cpu_run4
2026/07/12 03:04:05.285, P8, 47, 4.25 W, 210 MHz, 405 MHz, 6 %,before_old_host_o2_cpu_run4
2026/07/12 03:04:10.851, P5, 47, 6.26 W, 225 MHz, 810 MHz, 5 %,after_old_host_o2_cpu_run4
2026/07/12 03:04:12.931, P8, 47, 4.25 W, 210 MHz, 405 MHz, 7 %,before_current_cpu_run4
2026/07/12 03:04:18.475, P0, 48, 15.56 W, 1890 MHz, 8000 MHz, 0 %,after_current_cpu_run4
2026/07/12 03:04:20.533, P8, 47, 4.50 W, 210 MHz, 405 MHz, 7 %,before_old_original_cpu_run5
2026/07/12 03:04:26.050, P0, 48, 15.91 W, 1890 MHz, 8000 MHz, 3 %,after_old_original_cpu_run5
2026/07/12 03:04:28.119, P5, 47, 11.58 W, 465 MHz, 810 MHz, 1 %,before_old_host_o2_cpu_run5
2026/07/12 03:04:34.034, P8, 48, 5.00 W, 315 MHz, 405 MHz, 16 %,after_old_host_o2_cpu_run5
2026/07/12 03:04:36.107, P8, 48, 4.64 W, 210 MHz, 405 MHz, 23 %,before_current_cpu_run5
